Date,Open,High,Low,Close*,Adj Close**,Volume
01/11/2022,234.60,235.74,227.33,228.17,227.53,"30,592,300"
31/10/2022,233.76,234.92,231.15,232.13,231.48,"28,357,300"
28/10/2022,226.24,236.60,226.05,235.87,235.21,"40,647,700"
27/10/2022,231.04,233.69,225.78,226.75,226.11,"40,424,600"
26/10/2022,231.17,238.30,230.06,231.32,230.67,"82,543,200"
25/10/2022,247.26,251.04,245.83,250.66,249.96,"34,775,500"
24/10/2022,243.76,247.84,241.30,247.25,246.56,"24,911,200"
21/10/2022,234.74,243.00,234.50,242.12,241.44,"26,299,700"
20/10/2022,235.77,241.31,234.87,236.15,235.49,"21,811,000"
19/10/2022,237.04,239.61,234.29,236.48,235.82,"19,985,700"
18/10/2022,243.24,243.93,235.37,238.50,237.83,"26,329,600"
17/10/2022,235.82,238.96,235.14,237.53,236.86,"28,142,300"
14/10/2022,235.54,237.24,228.34,228.56,227.92,"30,198,600"
13/10/2022,219.85,236.10,219.13,234.24,233.58,"42,551,800"
12/10/2022,225.40,227.86,223.96,225.75,225.12,"21,903,900"
11/10/2022,227.62,229.06,224.11,225.41,224.78,"30,474,000"
10/10/2022,233.05,234.56,226.73,229.25,228.61,"29,743,600"
07/10/2022,240.90,241.32,233.17,234.24,233.58,"37,769,600"
06/10/2022,247.93,250.34,246.08,246.79,246.10,"20,239,900"
05/10/2022,245.99,250.58,244.10,249.20,248.50,"20,347,100"
04/10/2022,245.09,250.36,244.98,248.88,248.18,"34,888,400"
03/10/2022,235.41,241.61,234.66,240.74,240.06,"28,880,400"
30/09/2022,238.29,240.54,232.73,232.90,232.25,"35,694,800"
29/09/2022,238.89,239.95,234.41,237.50,236.83,"27,484,200"
28/09/2022,236.81,242.33,234.73,241.07,240.39,"29,029,700"
27/09/2022,239.98,241.80,234.50,236.41,235.75,"27,018,700"
26/09/2022,237.05,241.45,236.90,237.45,236.78,"27,694,200"
23/09/2022,239.54,241.13,235.20,237.92,237.25,"34,176,000"
22/09/2022,237.87,243.86,237.57,240.98,240.30,"31,061,200"
21/09/2022,244.27,247.66,238.90,238.95,238.28,"28,625,600"
20/09/2022,242.07,243.51,239.64,242.45,241.77,"26,660,300"
19/09/2022,242.47,245.14,240.85,244.52,243.83,"26,826,900"
16/09/2022,244.26,245.30,242.06,244.74,244.05,"39,791,800"
15/09/2022,249.77,251.40,244.02,245.38,244.69,"31,530,900"
14/09/2022,253.53,254.23,249.86,252.22,251.51,"23,913,000"
13/09/2022,258.84,260.40,251.59,251.99,251.28,"33,353,300"
12/09/2022,265.78,267.45,265.16,266.65,265.90,"18,747,700"
09/09/2022,260.50,265.23,260.29,264.46,263.72,"22,084,700"
08/09/2022,257.51,260.43,254.79,258.52,257.79,"20,319,900"
07/09/2022,254.70,258.83,253.22,258.09,257.36,"24,126,700"
06/09/2022,256.20,257.83,251.94,253.25,252.54,"21,328,200"
02/09/2022,261.70,264.74,254.47,256.06,255.34,"22,855,400"
01/09/2022,258.87,260.89,255.41,260.40,259.67,"23,263,400"
31/08/2022,265.39,267.11,261.33,261.47,260.74,"24,791,800"
30/08/2022,266.67,267.05,260.66,262.97,262.23,"22,767,100"
29/08/2022,265.85,267.40,263.85,265.23,264.48,"20,338,500"
26/08/2022,279.08,280.34,267.98,268.09,267.34,"27,549,300"
25/08/2022,277.33,279.02,274.52,278.85,278.07,"16,583,400"
24/08/2022,275.41,277.23,275.11,275.79,275.01,"18,137,000"
23/08/2022,276.44,278.86,275.40,276.44,275.66,"17,527,400"
22/08/2022,282.08,282.46,277.22,277.75,276.97,"25,061,100"
19/08/2022,288.90,289.25,285.56,286.15,285.35,"20,570,000"
18/08/2022,290.19,291.91,289.08,290.17,289.35,"17,186,200"
17/08/2022,289.74,293.35,289.47,291.32,290.50,"18,253,400"
17/08/2022,0.62 Dividend,0.62 Dividend,0.62 Dividend,0.62 Dividend,0.62 Dividend,0.62 Dividend
16/08/2022,291.99,294.04,290.42,292.71,291.27,"18,102,900"
15/08/2022,291.00,294.18,290.11,293.47,292.03,"18,085,700"
12/08/2022,288.48,291.91,286.94,291.91,290.47,"22,619,700"
